name,sku,cpsp_expand_prices,cpsp_show_lowest,cpsp_enable
Ideal Balance Puppy Natural Chicken & Rice Recipe ,DPI0001,1,0,1
Ideal Balance Adult Small Breed Natural Chicken & Rice Recipe 1.81kg,DPI2060,,,
Ideal Balance Adult Large Breed Natural Chicken & Rice Recipe ,DPI0002,1,0,1
 Ideal Balance Adult Natural Chicken & Brown Rice Recipe ,DPI0004,1,0,1
Ideal Balance Mature Natural Chicken & Brown Rice Recipe ,DPI0006,1,0,1
Ideal Balance Adult Grain Free Natural Chicken & Potato Recipe,DPI0008,1,0,1
Halti Head Collar Purple,HALTI4,1,0,1
Check Chain Medium Heavy 2.5mm,CCHAIN1,1,0,1
Check Chain Extra Heavy 3.5mm,CCHAIN2,1,0,1
Halti Harness,HALTI5,1,0,1
Nylon Adjustable Harness Black,HARNESS1,1,0,1
Frontline Spray,DHF028,1,0,1
Nylon Adjustable Harness Blue,HARNESS2,1,0,1
Nylon Adjustable Harness Red,HARNESS3,1,0,1
Scalibor Tick Collar,DHS2100,,,
Nylon Adjustable Harness Purple,HARNESS4,1,0,1
Revolution for Cats,CHR002,1,1,1
Revolution Puppy & Kitten up to 2.5kgs 3pk,DHR0020,,,
Revolution Dog 2.5kgs-5kgs ,DHR004,1,1,1
Revolution Dog 5.1kgs-10kgs,DHR008,1,1,1
Revolution Dog 10.1kgs-20kgs,DHR012,1,1,1
Revolution Dogs 20.1kgs-40kgs,DHR016,1,1,1
Comfortis Chewable Flea Tablet  2.3kgs-4.5kgs 6pk,DHC2020,,,
Comfortis Chewable Flea Tablet 4.6kgs-9kgs 6pk,DHC2040,,,
Comfortis Chewable Flea Tablet 9.1kgs-18kgs 6pk,DHC2060,,,
Comfortis Chewable Flea Tablet 18.1kgs-27kgs 6pk,DHC2080,,,
Comfortis Chewable Flea Tablet 27.1kgs-54kgs 6pk,DHC2100,,,
Black Hawk Dog Lamb & Rice,DPB010,1,1,1
Nylon Adjustable Harness Pink,HARNESS5,1,0,1
Black Hawk Dog Chicken & Rice,DPB006,1,1,1
Padded Nylon AdjustableHarness Black ,HARNESS6,1,0,1
Padded Nylon Adjustable Harness Blue,HARNESS7,1,0,1
Black Hawk Puppy Lamb & Rice,DPB002,1,1,1
Padded Nylon Adjustable Harness Red,HARNESS8,1,0,1
Black Hawk Dog Fish & Potato,DPB014,1,1,1
Black Hawk Dog Grain Free Chicken & Rice ,DPB050,1,1,1
Roadie Safety Car Harness,HARNESS9,1,0,1
Black Hawk Dog Grain Free Beef,DPB05,1,1,1
Black Hawk Dog Grain Free Lamb,DPB051,1,1,1
Black Hawk Holistic Seafood & Rice Feline ,CPB011,1,1,1
Black Hawk Holistic Chicken & Rice Feline,BHFC001,1,1,1
Black Hawk Grain Free Chicken ,CPB031,1,0,1
Panoramis Chewable Tablet for Dogs 2.3kgs-4.5kgs,DHP1020,,,
Panoramis Chewable Table for Dogs 4.6kgs-9kgs,DHP1040,,,
Panoramis Chewable Tablet for Dogs 9.1kgs-18kgs,DHP1060,,,
Panoramis Chewable Tablet for Dogs 18.1kgs-27kgs,DHP1080,,,
Panoramis Chewable Tablet for Dogs 27.1kgs-45kgs,DHP1100,,,
Puppy Collar Elastic Pink,16792,,,
Puppy Collar Elastic Blue ,16793,,,
Puppy Collar Suede Black,16791,,,
PETLIFE Fashion Puppy Collar Paisley Pink ,17290,,,
PETLIFE Fashion Puppy Collar Pup That Pink,17291,,,
PETLIFE Fashion Puppy Collar Holky Polky,17293,,,
PETLIFE Fashion Puppy Collar Swiss Swatch,17294,,,
PETLIFE Fashion Puppy Collar Cosmo Black ,17295,,,
PETLIFE Fashion Puppy Collar I See You Puppy ,17297,,,
PETLIFE Fashion Puppy Collar Spring Time,17298,,,
PETLIFE Fashion Puppy Collar Platinum,17299,,,
Fashion Puppy Collar Golden Glamour,17300,,,
Fashion Puppy Collar Silver Glamour,17301,,,
Fashion Puppy Collar Canary Pie,17303,,,
Fashion Puppy Collar Silver Lining,17304,,,
Fashion Puppy Collar Water Baby,17305,,,
Cat Collar Elastic Pink,16782,,,
Cat Collar Elastic Blue,16783,,,
Cat Collar Suede Black,16781,,,
Eukanuba Puppy Chicken Small Breed,DPE0001,1,0,1
Fashion Cat Collar Glitzy Blue,17306,,,
Fashion Cat Collar Cupcake,17307,,,
Fashion Cat Collar Fish Bowl Pink,17308,,,
Fashion Cat Collar She Gone Wild,17309,,,
Eukanuba Puppy Chicken Medium Breed ,DPE0002,1,0,1
Eukanuba Puppy Chicken Large Breed,DPE0003,1,0,1
Sentinel Spectrum Chewable Tablet for Dogs up to 4kgs,DHS002,1,1,1
Sentinel Spectrum Chewable Tablet for Dogs 4.1kgs-11kgs,DHS006,1,1,1
Sentinel Spectrum Chewable Tablet for Dogs 11.1kgs-22kgs,DHS010,1,1,1
Eukanuba Adult Chicken Small Breed,DPE0004,1,0,1
Sentinel Spectrum Chewable tablet for Dogs 22.1kgs-45kgs,DHS014,1,1,1
Eukanuba Adult Chicken Medium Breed,DPE0005,1,0,1
Eukanuba Adult Chicken Large Breed,DPE0006,1,0,1
Quit Itch Shampoo and Lotion,DHP316,1,0,1
Hoss Gloss Medicated Shampoo,DGT020,1,0,1
Fashion Cat Collar I See Fish,17311,,,
Fashion Cat Collar He Gone Wild,17312,,,
Eukanuba Adult Weight Control Small Breed,DPE0007,1,0,1
Fashion Cat Collar Glitter Paws,17313,,,
Fashion Cat Collar Fireman Red,17314,,,
Fashion Cat Collar Silver Alley Cat,17315,,,
Fashion Cat Collar Matrix,17316,,,
Fashion Cat Collar Shazam,17317,,,
Fashion Cat Collar Sassy White,17318,,,
Fashion Cat Collar Mai Style,17319,,,
Fashion Cat Collar I Dream in Purple,17320,,,
Eukanuba Adult Weight Control Medium Breed,DPE0008,1,0,1
Fashion Cat Collar Africa Wild,17321,,,
Eukanuba Adult Weight Control Large Breed,DPE0009,1,0,1
PETLIFE QuickFit Muzzle ,MUZZLE1,1,0,1
PETLIFE Baskerville Muzzle ,MUZZLE2,1,0,1
Eukanuba Mature & Senior Chicken Small Breed,DPE0010,1,0,1
Eukanuba Mature & Senior Chicken Medium Breed,DPE0011,1,0,1
Eukanuba Mature & Senior Chicken Large Breed,DPE0012,1,0,1
PETLIFE Matt Breaker,09039,,,
Eukanuba Adult Daily Care Sensitive Skin ,DPE0014,1,0,1
PETLIFE Rotating Pin Comb,09036,,,
PETLIFE Undercoat Rake,09027,,,
Eukanuba Adult Daily Care Sensitive Joints ,DPE0016,1,0,1
PETLIFE Undercoat Comb,09038,,,
Eukanuba Adult Daily Care Sensitive Digestion ,DPE0018,1,0,1
PETLIFE Flexi Combo Slicker Brush for Puppies,09035,,,
PETLIFE Self Cleaning Slicker Brush ,09033,,,
Eukanuba Adult Daily Care Senior 9+,DPE0013,1,0,1
SHEDEZE Deshedding Tool,SHED1,1,0,1
PETLIFE Flea Control Comb,09037,,,
PETLIFE Face Scissors & Comb Set,09045,,,
PETLIFE Grooming Scissors,09043,,,
PETLIFE Thinning Scissors,09044,,,
SHEDEZE Deshedding Blade,09047,,,
PETLIFE Shiny Coat Combo Brush,09028,,,
PETLIFE Nail Clippers,09040,,,
PETLIFE Guillotine Nail Clippers ,09041,,,
PETLIFE Shiny Coat Porcupine Brush ,09029,,,
PETLIFE Slicker Brush,BRUSH1,1,0,1
PETLIFE Flexi Combo Slicker Brush for Cats,09034,,,
PETLIFE Soap Dispensing Massage Brush,09042,,,
Royal Canin Cat Ageing +12 2kgs,CPR0355,,,
Eukanuba Healthy Extras Adult Maintenance Treats,DTE0080,,,
Eukanuba Healthy Extras Adult Large Breed Maintenance Treats,DTE0060,,,
Eukanuba Healthy Extras Puppy Treats,DTE0020,,,
Eukanuba Healthy Extras Weight Control Treats,DTE0100,,,
Eukanuba Healthy Extras Adult Small Breed Treats,DTE0040,,,
Royal Canin Cat Babycat 2kgs,CPR0020,,,
Royal Canin Cat British Short Hair ,14000,1,1,1
Royal Canin Cat Exigent,ROYEXI,1,1,1
Royal Canin Cat Exigent Protein 2kgs,CPR0140,,,
Royal Canin Cat Exigent Aroma 2kgs,CPR0120,,,
Royal Canin Cat Fit,ROY456,1,1,1
Pro Plan Senior Chicken & Rice,PRODOG11,1,0,1
Royal Canin Cat Indoor,ROY567,1,1,1
Royal Canin Cat Intense Hairball,ROY678,1,1,1
Royal Canin Cat Kitten,ROY890,1,1,1
Royal Canin Cat Indoor Mature,ROY011,1,1,1
Royal Canin Cat Light,ROY013,1,1,1
Royal Canin Cat Maine Coon,ROY014,1,1,1
Royal Canin Cat Oral Sensitive ,ROY017,1,1,1
Royal Canin Cat Persian,ROY018,1,1,1
Royal Canin Cat Ragdoll 2kgs,CPR0626,,,
Royal Canin Cat Sensible,ROY019,1,1,1
Royal Canin Cat Siamese,ROY022,1,1,1
Eukanuba Adult Jogging & Agility,DPE0022,1,0,1
Eukanuba Adult Working and Endurance,DPE0026,1,0,1
Eukanuba Dog Adult Dachshund,DPE1225,,,
Eukanuba Adult Cocker Spaniel Chicken,DPE0029,1,0,1
Eukanuba Adult German Shepherd Chicken,DPE0029+,1,0,1
Eukanuba Adult Labrador Retriever Chicken,DPE0031,1,0,1
Eukanuba Adult Rottweiler,DPE0033,1,0,1
Eukanuba Adult Boxer 12kg,DPE1420,,,
Eukanuba Adult Golden Retriever Chicken 12kg,DPE1440,,,
Eukanuba Puppy Entr_e with Fresh Chicken & Rice 374g x 12 pack,DPE1600,,,
Eukanuba Puppy Mixed Grill with Chicken & Beef 349g x 12 pack,DPE1720,,,
Eukanuba Adult Entr_e with Fresh Chicken & Rice 374g x 12 pack,DPE1620,,,
Eukanuba Adult Entr_e with Beef & Rice 374g x 12 pack,DPE1640,,,
Eukanuba Adult Entr_e with Lamb & Rice 374g x 12 pack,DPE1660,,,
Eukanuba Adult Entr_e with Turkey & Rice 374g x 12 pack,DPE1680,,,
Eukanuba Adult  Mixed Grill with Chicken & Beef 374g x 12 pack,DPE1700,,,
Eukanuba Adult  Dinner with Chicken in Gravy 349g x 12 pack,DPE1740,,,
Eukanuba Adult  Hearty Stew with Beef & Vegetables in Gravy 349g x 12 pack,DPE1760,,,
Eukanuba Adult  Mixed Grill with Chicken & Beef in Gravy 349g x 12 pack,DPE1780,,,
Eukanuba Kitten Chicken Formula,CPE0001,1,0,1
Eukanuba Adult Rich In Chicken With Liver,CPE0002,1,0,1
Eukanuba Adult Weight Control,CPE0135,,,
Eukanuba Adult Hairball Relief For Indoor Cats,CPE0003,1,0,1
Eukanuba Mature Care for Senior Cats,CPE0004,1,0,1
Royal Canin Cat Pouch AGE +12  12x85g Jelly,CPR0805,,,
Royal Canin Cat Pouch AGE +12  12 x 85g Gravy,YD635,,,
Royal Canin Cat Pouch INTENSE BEAUTY  12x85g Gravy,CPR0740,,,
Royal Canin Cat Pouch INTENSE BEAUTY 12x85g Jelly,CPR0745,,,
Royal Canin Cat Pouch DIGEST SENSITIVE 12x85g Gravy,CPR0780,,,
Royal Canin Cat Pouch INSTINCTIVE +7  12x85g Gravy,CPR0720,,,
Royal Canin Cat Pouch INSTINCTIVE +7  12x85g  Jelly,CPR0725,,,
Royal Canin Cat Pouch INSTINCTIVE 12x85g Jelly,CPR0700,,,
Royal Canin Cat Pouch INSTINCTIVE 12x85g Gravy,CPR0680,,,
Royal Canin Cat Pouch KITTEN 12x85g Jelly,CPR0665,,,
Royal Canin Cat Pouch KITTEN 12x85g Gravy,CPR0660,,,
Royal Canin Cat Pouch ULTRA LIGHT 12x85g Gravy,CPR0760,,,
Royal Canin Cat Pouch ULTRA LIGHT 12x85g Jelly,CPR0765,,,
Royal Canin Dog BEAGLE,ROYBEA,1,1,1
Royal Canin Dog BOXER Adult,ROYBOX,1,1,1
Royal Canin Dog BOXER Junior ,ROYBOJ,1,1,1
Iams Proactive Health Kitten & Junior,CPI0001,1,0,1
Royal Canin Dog CAVALIER KING CHARLES,ROYKIN,1,1,1
Royal Canin Dog COCKER SPANIEL,ROYCOC,1,1,1
Iams Proactive Health Adult Chicken,CPI0888,1,0,1
Iams Proactive Health Adult Ocean Fish with Rice,CPI00022,1,0,1
Iams ProActive Health Adult Indoor Weight & Hairball Care,CPI0006,1,0,1
Iams ProActive Health Adult Hairball Care,CPI0007,1,0,1
Iams ProActive Health Adult Light/Sterilised,CPI0008,1,0,1
Iams ProActive Health Adult Mature/Senior Chicken,CPI0011,1,0,1
Royal Canin Dog DACHSHUND 1.5kgs,DPR1220,,,
Royal Canin Dog FRENCH BULLDOG 3kgs,DPR1240,,,
Royal Canin Dog GERMAN SHEPARD Adult ,ROYGER,1,1,1
Royal Canin Dog GERMAN SHEPARD Junior 12kgs,DPR1540,,,
Royal Canin Dog GIANT Puppy 15kgs,DPR1060,,,
Royal Canin Dog GIANT Junior 15kgs,DPR1080,,,
Royal Canin Dog GIANT Adult 15kgs,DPR1100,,,
Royal Canin Dog GOLDEN RETRIEVER Adult 3kgs,DPR1640,,,
Royal Canin Dog GOLDEN RETRIEVER Adult 12kgs,DPR1660,,,
Royal Canin Dog GOLDEN RETRIEVER Adult ,ROYGOLD,1,1,1
Royal Canin Dog GOLDEN RETRIEVER Junior ,ROYGOL,1,1,1
Royal Canin Dog JACK RUSSELL 3kgs,DPR1315,,,
Royal Canin Dog LABRADORS Retriever Adult,ROYLAB,1,1,1
Royal Canin Dog LABRADOR RETRIEVER Junior ,ROYLJU,1,1,1
Royal Canin Dog MAXI Adult,ROYMAX,1,1,1
Royal Canin Dog MAXI 5+ Adult 15kgs,40893,,,
Royal Canin Dog MAXI AGEING 8+ 15kgs,DPR0840,,,
Royal Canin Dog MAXI Junior ,ROYMAX.,1,1,1
Royal Canin Dog MAXI DERMA,ROYDER,1,1,1
Royal Canin Dog MAXI LIGHT ,ROYLIG,1,1,1
Royal Canin Dog MEDIUM Adult ,ROYMED,1,1,1
Royal Canin Dog MEDIUM AGEING 7+,ROYAGE,1,1,1
Royal Canin Dog MEDIUM DERMA,ROYMDER,1,1,1
Royal Canin Dog MEDIUM Junior ,ROYMJU,1,1,1
Royal Canin Dog MEDIUM LIGHT,ROYMLI,1,1,1
Royal Canin Dog MEDIUM Sensible,ROYMSEN,1,1,1
Iams ProActive Health Adult Mature/Senior Hairball,CPI0016,1,0,1
Iams Pouch Kitten 100g x 22 pack,CPI0700,,,
Iams Pouch Adult Chicken 100g x 22 pack,CPI0720,,,
Iams Pouch Adult Salmon 100g x 22 pack,CPI0740,,,
Iams Pouch Adult Tuna 100g x 22 pack,CPI0760,,,
Iams Pouch Active Maturity 100g x 22 pack,CPI0780,,,
Royal Canin Dog MINI Adult,ROYMINI,1,1,1
Royal Canin Dog MINI DERMACOMFORT 2kgs,DPR0220,,,
Royal Canin Dog MINI Junior ,ROYMIJU,1,1,1
Royal Canin Dog MINI Light 2kgs,DPR0160,,,
Royal Canin Dog MINI MALTESE 1.5kgs,DPR1260,,,
Royal Canin Dog MINI Mature 8+ 2kgs,DPR0120,,,
Royal Canin Dog PUG Adult 3kgs,DPR1380,,,
Royal Canin Dog MINI SCHNAUZER Adult,ROYSCH,1,1,1
Royal Canin Dog MINI Sensible,ROYSEN,1,1,1
Royal Canin Dog POODLE 1.5kgs,DPR1320,,,
Royal Canin Dog POODLE ,ROYPOO,1,1,1
