name,sku,cpsp_expand_prices,cpsp_show_lowest,cpsp_enable
Royal Canin Cat Siamese,ROY022,1,1,1
Eukanuba Adult Jogging & Agility,DPE0022,1,1,1
Eukanuba Adult Working and Endurance,DPE0026,1,1,1
Eukanuba Dog Adult Dachshund,DPE1225,,1,
Eukanuba Adult Cocker Spaniel Chicken,DPE0029,1,1,1
Eukanuba Adult German Shepherd Chicken,DPE0029+,1,1,1
Eukanuba Adult Labrador Retriever Chicken,DPE0031,1,1,1
Eukanuba Adult Rottweiler,DPE0033,1,1,1
Eukanuba Adult Boxer 12kg,DPE1420,,1,
Eukanuba Adult Golden Retriever Chicken 12kg,DPE1440,,1,
Eukanuba Puppy Entr_e with Fresh Chicken & Rice 374g x 12 pack,DPE1600,,1,
Eukanuba Puppy Mixed Grill with Chicken & Beef 349g x 12 pack,DPE1720,,1,
Eukanuba Adult Entr_e with Fresh Chicken & Rice 374g x 12 pack,DPE1620,,1,
Eukanuba Adult Entr_e with Beef & Rice 374g x 12 pack,DPE1640,,1,
Eukanuba Adult Entr_e with Lamb & Rice 374g x 12 pack,DPE1660,,1,
Eukanuba Adult Entr_e with Turkey & Rice 374g x 12 pack,DPE1680,,1,
Eukanuba Adult  Mixed Grill with Chicken & Beef 374g x 12 pack,DPE1700,,1,
Eukanuba Adult  Dinner with Chicken in Gravy 349g x 12 pack,DPE1740,,1,
Eukanuba Adult  Hearty Stew with Beef & Vegetables in Gravy 349g x 12 pack,DPE1760,,1,
Eukanuba Adult  Mixed Grill with Chicken & Beef in Gravy 349g x 12 pack,DPE1780,,1,
Eukanuba Kitten Chicken Formula,CPE0001,1,1,1
Eukanuba Adult Rich In Chicken With Liver,CPE0002,1,1,1
Eukanuba Adult Weight Control,CPE0135,,1,
Eukanuba Adult Hairball Relief For Indoor Cats,CPE0003,1,1,1
Eukanuba Mature Care for Senior Cats,CPE0004,1,1,1
Royal Canin Cat Pouch AGE +12  12x85g Jelly,CPR0805,,1,
Royal Canin Cat Pouch AGE +12  12 x 85g Gravy,YD635,,1,
Royal Canin Cat Pouch INTENSE BEAUTY  12x85g Gravy,CPR0740,,1,
Royal Canin Cat Pouch INTENSE BEAUTY 12x85g Jelly,CPR0745,,1,
Royal Canin Cat Pouch DIGEST SENSITIVE 12x85g Gravy,CPR0780,,1,
Royal Canin Cat Pouch INSTINCTIVE +7  12x85g Gravy,CPR0720,,1,
Royal Canin Cat Pouch INSTINCTIVE +7  12x85g  Jelly,CPR0725,,1,
Royal Canin Cat Pouch INSTINCTIVE 12x85g Jelly,CPR0700,,1,
Royal Canin Cat Pouch INSTINCTIVE 12x85g Gravy,CPR0680,,1,
Royal Canin Cat Pouch KITTEN 12x85g Jelly,CPR0665,,1,
Royal Canin Cat Pouch KITTEN 12x85g Gravy,CPR0660,,1,
Royal Canin Cat Pouch ULTRA LIGHT 12x85g Gravy,CPR0760,,1,
Royal Canin Cat Pouch ULTRA LIGHT 12x85g Jelly,CPR0765,,1,
Royal Canin Dog BEAGLE,ROYBEA,1,1,1
Royal Canin Dog BOXER Adult,ROYBOX,1,1,1
Royal Canin Dog BOXER Junior ,ROYBOJ,1,1,1
Iams Proactive Health Kitten & Junior,CPI0001,1,1,1
Royal Canin Dog CAVALIER KING CHARLES,ROYKIN,1,1,1
Royal Canin Dog COCKER SPANIEL,ROYCOC,1,1,1
Iams Proactive Health Adult Chicken,CPI0888,1,1,1
