sku,name,stock.qty,stock.is_in_stock
CHF0540,"Feliway Spray for Cats 60ml",40.0000,"In Stock"
DAK6395,"Kong Cozie Rosie the Rhino Medium",8.0000,"In Stock"
DAK630004,"Kong Cozie Rosie the Rhino",0.0000,"In Stock"
CPS0320,"Science Diet Feline Oral Care 2kg",98.0000,"In Stock"
CHF0520,"Feliway Refill Only 48ml",39.0000,"In Stock"
CPS0340,"Science Diet Feline Oral Care 5kg",80.0000,"In Stock"
CPS0002,"Science Diet Feline Adult Oral Care",0.0000,"In Stock"
DAK5675,"Kong Dodo Bird",6.0000,"Out of Stock"
DAK5110,"Kong Classic Flyer Small",6.0000,"In Stock"
DAK5120,"Kong Classic Flyer Large",6.0000,"In Stock"
DAK50003,"Kong Classic Flyer ",0.0000,"In Stock"
DAK5130,"Kong Extreme Flyer ",3.0000,"In Stock"
DAB0600,"Ball Launcher/Chucker",141.0000,"In Stock"
DAK5010,"Kong Classic Ball Small",4.0000,"In Stock"
DAK5020,"Kong Classic Ball Large",4.0000,"In Stock"
DAK50005,"Kong Classic Ball",0.0000,"In Stock"
DAK5030,"Kong Extreme Ball Small",4.0000,"In Stock"
DAK5040,"Kong Extreme Ball Large ",3.0000,"In Stock"
DAK50006,"Kong Extreme Ball",0.0000,"In Stock"
DAK50007,"Kong Satellite Treat Dispenser",0.0000,"Out of Stock"
DAK5880,"Kong Genius Mike Small",6.0000,"In Stock"
DAK5890,"Kong Genius Mike Large",6.0000,"In Stock"
DAK5900,"Kong Genius Mike Extra Large ",5.0000,"In Stock"
DAK50008,"Kong Genius Mike",0.0000,"In Stock"
DAK5250,"Kong Safe Stix Small",0.0000,"Out of Stock"
DAK5260,"Kong Safe Stix Medium",4.0000,"In Stock"
DAK5270,"Kong Safe Stix Large",6.0000,"In Stock"
DAK50009,"Kong Safe Stix",0.0000,"In Stock"
DAK3670,"Kong Tug",5.0000,"In Stock"
DAK3110,"Kong Sports Balls Assorted Small 3 Pack",7.0000,"In Stock"
DAK3120,"Kong Sports Balls Assorted Medium3 Pack",7.0000,"In Stock"
DAK3130,"Kong Sports Balls Assorted Large 2 Pack",6.0000,"In Stock"
DAK30001,"Kong Sports Balls Assorted ",0.0000,"In Stock"
CPS0460,"Science Diet Feline Hairball Control Senior 2kg",100.0000,"In Stock"
CPS0480,"Science Diet Feline Hairball Control Senior 5kg",97.0000,"In Stock"
CPS0220,"Science Diet Feline Adult Indoor 2kg",99.0000,"In Stock"
CPS0240,"Science Diet Feline Adult Indoor 5kg",81.0000,"In Stock"
234,34234,0.0000,"Out of Stock"
CPS0003,"Science Diet Feline Adult Indoor",0.0000,"In Stock"
CPS0010,"Science Diet Feline Hairball Control Senior",0.0000,"In Stock"
CPS0004,"Science Diet Feline Hairball Control Adult",0.0000,"In Stock"
CPS0180,"Science Diet Feline Hairball Control Adult 2kg",100.0000,"In Stock"
CPS0200,"Science Diet Feline Hairbal Control Adult 5kg",98.0000,"In Stock"
DGF0580,"Fido's Tea Tree Shampoo 250ml",3.0000,"In Stock"
DGF0600,"Fido's Tea Tree Shampoo 1ltr",0.0000,"Out of Stock"
DGF058,"Fido's Tea Tree Shampoo",0.0000,"In Stock"
DGF0420,"Fido's Aloe Vera Shampoo 250ml",0.0000,"Out of Stock"
DGF0440,"Fido's Aloe Vera Shampoo 1Ltr",0.0000,"Out of Stock"
DGF042,"Fido's Aloe Vera Shampoo",0.0000,"In Stock"
DGF0160,"Fido's Emu Oil Shampoo 250ml",5.0000,"In Stock"
DGF0180,"Fido's Emu Oil Shampoo 1Ltr",6.0000,"In Stock"
DGF016,"Fido's Emu Oil Shampoo",0.0000,"In Stock"
DGF2460,"Fido's Gentle and Mild Shampoo with Baking Soda 250ml",4.0000,"In Stock"
DGF2470,"Fido's Gentle and Mild Shampoo with Baking Soda 1Ltr",6.0000,"In Stock"
DGF246,"Fido's Gentle and Mild Shampoo with Baking Soda",0.0000,"In Stock"
